Year,Name,Position,Date of Birth,Caps,Club
1986,Natiq Hashim,3MF,(1960-01-15)15 January 1960 (aged 26),0,Al-Tayaran
1986,Shaker Mahmoud,3MF,(1963-05-05)5 May 1963 (aged 23),0,Al-Shabab
1986,Anad Abid,4FW,(1955-08-03)3 August 1955 (aged 30),0,Al-Rasheed
1986,Ismail Mohammed Sharif,3MF,(1962-01-19)19 January 1962 (aged 24),0,Al-Shabab
1986,Basim Qasim,2DF,(1963-03-22)22 March 1963 (aged 23),0,Al-Shorta
1986,Fatah Nsaief,1GK,(1951-02-02)2 February 1951 (aged 35),0,Al-Jaish
1986,Ahmad Jassim,1GK,(1960-05-04)4 May 1960 (aged 26),0,Al-Rasheed
1986,Ghanim Oraibi,2DF,(1961-08-16)16 August 1961 (aged 24),0,Al-Shabab
1986,Pablo Larios,1GK,(1960-07-31)31 July 1960 (aged 25),31,Cruz Azul
1986,Mario Trejo,2DF,(1956-02-11)11 February 1956 (aged 30),50,América
1986,Fernando Quirarte,2DF,(1956-05-17)17 May 1956 (aged 30),30,Guadalajara
1986,Armando Manzo,2DF,(1958-10-16)16 October 1958 (aged 27),35,América
1986,Francisco Javier Cruz,4FW,(1966-05-24)24 May 1966 (aged 20),2,Monterrey
1986,Carlos de los Cobos,3MF,(1958-12-10)10 December 1958 (aged 27),23,América
1986,Miguel España,3MF,(1961-04-04)4 April 1961 (aged 25),35,UNAM Pumas
1986,Alejandro Domínguez,3MF,(1961-02-09)9 February 1961 (aged 25),15,América
1986,Hugo Sánchez,4FW,(1958-07-11)11 July 1958 (aged 27),37,Real Madrid
1986,Tomás Boy,3MF,(1951-06-28)28 June 1951 (aged 34),42,Tigres
1986,Carlos Hermosillo,4FW,(1964-08-24)24 August 1964 (aged 21),18,América
1986,Ignacio Rodríguez,1GK,(1956-08-13)13 August 1956 (aged 29),11,Atlante
1986,Javier Aguirre,3MF,(1958-12-01)1 December 1958 (aged 27),43,Atlante
1986,Felix Cruz,2DF,(1961-04-04)4 April 1961 (aged 25),32,UNAM Pumas
1986,Luis Flores,4FW,(1962-08-08)8 August 1962 (aged 23),34,UNAM Pumas
1986,Carlos Muñoz,3MF,(1962-09-08)8 September 1962 (aged 23),32,Tigres
1986,Raúl Servín,2DF,(1963-04-29)29 April 1963 (aged 23),20,UNAM Pumas
1986,Rafael Amador,2DF,(1959-02-16)16 February 1959 (aged 27),25,UNAM Pumas
1986,Javier Hernández,3MF,(1961-08-01)1 August 1961 (aged 24),19,Tecos
1986,Olaf Heredia,1GK,(1957-10-19)19 October 1957 (aged 28),17,Tigres
1986,Cristóbal Ortega,4FW,(1956-07-25)25 July 1956 (aged 29),24,América
1986,Manuel Negrete,3MF,(1959-05-15)15 May 1959 (aged 27),41,UNAM Pumas
1986,Roberto Fernández,1GK,(1954-07-09)9 July 1954 (aged 31),43,Deportivo Cali
1986,Juan Torales,2DF,(1956-05-09)9 May 1956 (aged 30),58,Libertad
1986,César Zabala,2DF,(1961-06-03)3 June 1961 (aged 24),2,Cerro Porteño
1986,Vladimiro Schettina,2DF,(1955-10-08)8 October 1955 (aged 30),4,Guaraní
1986,Rogelio Delgado,2DF,(1959-10-12)12 October 1959 (aged 26),4,Olimpia
1986,Jorge Amado Nunes,3MF,(1961-10-18)18 October 1961 (aged 24),2,Deportivo Cali
1986,Buenaventura Ferreira,3MF,(1960-07-04)4 July 1960 (aged 25),2,Deportivo Cali
1986,Julio César Romero,3MF,(1960-08-28)28 August 1960 (aged 25),11,Fluminense
1986,Roberto Cabañas,4FW,(1961-04-11)11 April 1961 (aged 25),2,América de Cali
1986,Adolfino Cañete,3MF,(1956-09-13)13 September 1956 (aged 29),4,Cruz Azul
1986,Alfredo Mendoza,4FW,(1963-12-31)31 December 1963 (aged 22),4,Independiente Medellín
1986,Jorge Battaglia,1GK,(1960-05-12)12 May 1960 (aged 26),0,Sol de America
1986,Virginio Cáceres,2DF,(1962-05-21)21 May 1962 (aged 24),2,Guaraní
1986,Luis Caballero,2DF,(1962-09-17)17 September 1962 (aged 23),0,Guaraní
1986,Eufemio Cabral,4FW,(1955-03-21)21 March 1955 (aged 31),?,Guaraní
1986,Jorge Guasch,3MF,(1961-01-17)17 January 1961 (aged 25),0,Olimpia
1986,Francisco Alcaraz,4FW,(1960-10-04)4 October 1960 (aged 25),?,Nacional
1986,Evaristo Isasi,4FW,(1955-10-26)26 October 1955 (aged 30),6,Olimpia
1986,Rolando Chilavert,3MF,(1961-05-22)22 May 1961 (aged 25),?,Guaraní
1986,Ramón Hicks,4FW,(1959-05-30)30 May 1959 (aged 27),1,Libertad
1986,Faustino Alonso,4FW,(1961-02-15)15 February 1961 (aged 25),?,Sol de America
1986,Julián Coronel,1GK,(1958-10-23)23 October 1958 (aged 27),0,Guaraní
1986,Tino Lettieri,1GK,(1957-09-27)27 September 1957 (aged 28),21,Minnesota Strikers
1986,Bob Lenarduzzi,2DF,(1955-05-01)1 May 1955 (aged 31),44,Tacoma Stars
1986,Bruce Wilson,2DF,(1951-06-20)20 June 1951 (aged 34),54,Inex Toronto
1986,Randy Ragan,3MF,(1959-06-07)7 June 1959 (aged 26),32,Toronto Blizzard
1986,Terry Moore,2DF,(1958-06-02)2 June 1958 (aged 27),11,Glentoran
1986,Ian Bridge,2DF,(1959-09-18)18 September 1959 (aged 26),20,La Chaux-de-Fonds
1986,Carl Valentine,4FW,(1958-07-04)4 July 1958 (aged 27),3,Cleveland Force
1986,Gerry Gray,3MF,(1961-01-20)20 January 1961 (aged 25),22,Chicago Sting
1986,Branko Šegota,4FW,(1961-06-08)8 June 1961 (aged 24),11,San Diego Sockers
1986,Igor Vrablic,4FW,(1965-07-19)19 July 1965 (aged 20),27,Seraing
1986,Mike Sweeney,3MF,(1959-12-25)25 December 1959 (aged 26),26,Cleveland Force
1986,Randy Samuel,2DF,(1963-12-23)23 December 1963 (aged 22),25,PSV
1986,George Pakos,4FW,(1952-08-14)14 August 1952 (aged 33),22,Victoria Athletic Association
1986,Dale Mitchell,4FW,(1958-04-21)21 April 1958 (aged 28),26,Kansas City Comets
1986,Paul James,3MF,(1963-11-11)11 November 1963 (aged 22),30,Toronto Blizzard
1986,Greg Ion,3MF,(1963-03-12)12 March 1963 (aged 23),5,Los Angeles Lazers
1986,David Norman,3MF,(1962-05-06)6 May 1962 (aged 24),22,Tacoma Stars
1986,Jamie Lowery,3MF,(1961-01-15)15 January 1961 (aged 25),5,Victoria University
1986,Pasquale De Luca,2DF,(1962-05-26)26 May 1962 (aged 24),19,Cleveland Force
1986,Colin Miller,2DF,(1964-10-04)4 October 1964 (aged 21),7,Rangers
1986,Sven Habermann,1GK,(1961-11-03)3 November 1961 (aged 24),11,Inex Toronto
1986,Paul Dolan,1GK,(1966-04-16)16 April 1966 (aged 20),20,Edmonton Brick Men
1986,Joël Bats,1GK,(1957-01-04)4 January 1957 (aged 29),23,Paris Saint-Germain
1986,Manuel Amoros,2DF,(1962-02-01)1 February 1962 (aged 24),32,Monaco
1986,William Ayache,2DF,(1961-01-10)10 January 1961 (aged 25),9,Nantes
1986,Patrick Battiston,2DF,(1957-03-12)12 March 1957 (aged 29),42,Bordeaux
1986,Michel Bibard,2DF,(1958-11-30)30 November 1958 (aged 27),5,Paris Saint-Germain
1986,Maxime Bossis,2DF,(1955-06-26)26 June 1955 (aged 30),69,Racing Paris
1986,Yvon Le Roux,2DF,(1960-04-19)19 April 1960 (aged 26),18,Nantes
1986,Thierry Tusseau,2DF,(1958-01-19)19 January 1958 (aged 28),18,Bordeaux
1986,Luis Fernandez,3MF,(1959-10-02)2 October 1959 (aged 26),28,Paris Saint-Germain
1986,Michel Platini,3MF,(1955-06-21)21 June 1955 (aged 30),63,Juventus
1986,Jean-Marc Ferreri,3MF,(1962-12-26)26 December 1962 (aged 23),14,Auxerre
1986,Alain Giresse,3MF,(1952-09-02)2 September 1952 (aged 33),41,Bordeaux
1986,Bernard Genghini,3MF,(1958-01-18)18 January 1958 (aged 28),25,Monaco
1986,Jean Tigana,3MF,(1955-06-23)23 June 1955 (aged 30),40,Bordeaux
1986,Philippe Vercruysse,3MF,(1962-01-28)28 January 1962 (aged 24),2,Lens
1986,Bruno Bellone,4FW,(1962-03-14)14 March 1962 (aged 24),24,Monaco
1986,Jean-Pierre Papin,4FW,(1963-11-05)5 November 1963 (aged 22),1,Club Brugge
1986,Dominique Rocheteau,4FW,(1955-01-14)14 January 1955 (aged 31),45,Paris Saint-Germain
1986,Yannick Stopyra,4FW,(1961-01-09)9 January 1961 (aged 25),16,Toulouse
1986,Daniel Xuereb,4FW,(1959-06-22)22 June 1959 (aged 26),3,Lens
1986,Philippe Bergeroo,1GK,(1954-01-13)13 January 1954 (aged 32),3,Toulouse
1986,Albert Rust,1GK,(1953-10-10)10 October 1953 (aged 32),0,Sochaux
1986,Péter Disztl,1GK,(1960-03-30)30 March 1960 (aged 26),13,Videoton
1986,Sándor Sallai,2DF,(1960-03-26)26 March 1960 (aged 26),31,Budapest Honvéd
1986,Antal Róth,2DF,(1960-09-14)14 September 1960 (aged 25),18,Pécsi Munkás
1986,József Varga,2DF,(1954-10-09)9 October 1954 (aged 31),29,Denizlispor
1986,József Kardos,2DF,(1960-03-22)22 March 1960 (aged 26),27,Újpesti Dózsa
1986,Imre Garaba,2DF,(1958-07-29)29 July 1958 (aged 27),53,Budapest Honvéd
1986,József Kiprich,4FW,(1963-09-06)6 September 1963 (aged 22),14,Tatabányai Bányász
1986,Antal Nagy,2DF,(1956-10-17)17 October 1956 (aged 29),25,Budapest Honvéd
1986,László Dajka,4FW,(1959-04-29)29 April 1959 (aged 27),19,Budapest Honvéd
1986,Lajos Détári,3MF,(1963-04-24)24 April 1963 (aged 23),17,Budapest Honvéd
1986,Márton Esterházy,4FW,(1956-04-09)9 April 1956 (aged 30),21,AEK Athens
1986,József Csuhay,2DF,(1957-07-12)12 July 1957 (aged 28),9,Videoton
1986,László Disztl,2DF,(1962-06-04)4 June 1962 (aged 23),5,Videoton
1986,Zoltán Péter,2DF,(1958-03-23)23 March 1958 (aged 28),21,Zalaegerszeg
1986,Péter Hannich,3MF,(1957-03-30)30 March 1957 (aged 29),23,Rába ETO Győr
1986,József Nagy,3MF,(1960-10-20)20 October 1960 (aged 25),1,Szombathelyi Haladás
1986,Győző Burcsa,3MF,(1954-03-13)13 March 1954 (aged 32),11,Auxerre
1986,József Szendrei,1GK,(1954-04-25)25 April 1954 (aged 32),2,Újpesti Dózsa
1986,György Bognár,3MF,(1961-11-05)5 November 1961 (aged 24),7,MTK Hungária
1986,Kálmán Kovács,4FW,(1965-09-11)11 September 1965 (aged 20),8,Budapest Honvéd
1986,Gyula Hajszán,3MF,(1961-10-09)9 October 1961 (aged 24),22,Rába ETO Győr
1986,József Andrusch,1GK,(1956-03-31)31 March 1956 (aged 30),5,Budapest Honvéd
1986,Rinat Dasayev,1GK,(1957-06-13)13 June 1957 (aged 28),58,Spartak Moscow
1986,Volodymyr Bezsonov,2DF,(1958-03-05)5 March 1958 (aged 28),53,Dynamo Kyiv
1986,Aleksandr Chivadze,2DF,(1955-04-08)8 April 1955 (aged 31),42,Dinamo Tbilisi
1986,Gennady Morozov,2DF,(1962-12-30)30 December 1962 (aged 23),9,Spartak Moscow
1986,Anatoliy Demyanenko,2DF,(1959-02-19)19 February 1959 (aged 27),46,Dynamo Kyiv
1986,Aleksandr Bubnov,2DF,(1955-10-10)10 October 1955 (aged 30),32,Spartak Moscow
1986,Ivan Yaremchuk,3MF,(1962-03-19)19 March 1962 (aged 24),2,Dynamo Kyiv
1986,Pavel Yakovenko,3MF,(1964-12-19)19 December 1964 (aged 21),1,Dynamo Kyiv
1986,Aleksandr Zavarov,3MF,(1961-04-24)24 April 1961 (aged 25),7,Dynamo Kyiv
1986,Oleh Kuznetsov,2DF,(1963-03-22)22 March 1963 (aged 23),5,Dynamo Kyiv
1986,Oleg Blokhin,4FW,(1952-11-05)5 November 1952 (aged 33),104,Dynamo Kyiv
1986,Andriy Bal,3MF,(1958-02-16)16 February 1958 (aged 28),17,Dynamo Kyiv
1986,Gennadiy Litovchenko,3MF,(1963-09-11)11 September 1963 (aged 22),18,Dnipro Dnipropetrovsk
1986,Sergey Rodionov,4FW,(1962-09-03)3 September 1962 (aged 23),17,Spartak Moscow
1986,Nikolay Larionov,2DF,(1957-01-19)19 January 1957 (aged 29),15,Zenit Leningrad
1986,Viktor Chanov,1GK,(1959-07-21)21 July 1959 (aged 26),1,Dynamo Kyiv
1986,Vadym Yevtushenko,3MF,(1958-01-01)1 January 1958 (aged 28),7,Dynamo Kyiv
1986,Oleh Protasov,4FW,(1964-02-04)4 February 1964 (aged 22),19,Dnipro Dnipropetrovsk
1986,Igor Belanov,3MF,(1960-09-25)25 September 1960 (aged 25),4,Dynamo Kyiv
1986,Sergei Aleinikov,3MF,(1961-11-07)7 November 1961 (aged 24),23,Dinamo Minsk
1986,Vasiliy Rats,3MF,(1961-04-25)25 April 1961 (aged 25),2,Dynamo Kyiv
1986,Serhiy Krakovskiy,1GK,(1960-08-11)11 August 1960 (aged 25),0,Dnipro Dnipropetrovsk
1986,Nacerdine Drid,1GK,(1957-01-22)22 January 1957 (aged 29),0,MP Oran
1986,Mahmoud Guendouz,2DF,(1953-02-24)24 February 1953 (aged 33),8,JS El Biar
1986,Fathi Chebel,3MF,(1956-08-19)19 August 1956 (aged 29),?,Rouen
1986,Noureddine Kourichi,2DF,(1954-04-12)12 April 1954 (aged 32),3,Lille
1986,Abdellah Medjadi Liegeon,2DF,(1957-12-01)1 December 1957 (aged 28),0,Monaco
1986,Mohamed Kaci-Saïd,3MF,(1958-05-02)2 May 1958 (aged 28),0,RS Kouba
1986,Salah Assad,4FW,(1958-03-13)13 March 1958 (aged 28),7,Mulhouse
1986,Karim Maroc,3MF,(1958-03-05)5 March 1958 (aged 28),0,Montpellier
1986,Djamel Menad,4FW,(1960-07-22)22 July 1960 (aged 25),4,JE Tizi-Ouzou
1986,Lakhdar Belloumi,3MF,(1958-12-29)29 December 1958 (aged 27),7,GCR Mascara
1986,Rabah Madjer,4FW,(1958-12-15)15 December 1958 (aged 27),8,Porto
1986,Tedj Bensaoula,4FW,(1954-12-01)1 December 1954 (aged 31),8,Le Havre
1986,Rachid Harkouk,4FW,(1956-05-16)16 May 1956 (aged 30),0,Notts County
1986,Djamel Zidane,4FW,(1955-04-28)28 April 1955 (aged 31),2,Waterschei Thor
1986,Abdelhamid Sadmi,2DF,(1961-01-01)1 January 1961 (aged 25),1,JE Tizi-Ouzou
1986,Faouzi Mansouri,2DF,(1956-01-17)17 January 1956 (aged 30),3,Montpellier
1986,Fawzi Benkhalidi,3MF,(1963-02-03)3 February 1963 (aged 23),?,WKF Boufarik
1986,Halim Benmabrouk,3MF,(1960-06-25)25 June 1960 (aged 25),0,Racing Paris
1986,Mohamed Chaïb,2DF,(1957-05-20)20 May 1957 (aged 29),0,RS Kouba
1986,Fodil Megharia,2DF,(1961-05-23)23 May 1961 (aged 25),1,ASO Chlef
1986,Larbi El Hadi,1GK,(1961-05-27)27 May 1961 (aged 25),0,WKF Boufarik
1986,Mourad Amara,1GK,(1959-02-19)19 February 1959 (aged 27),4,JE Tizi-Ouzou
1986,Carlos,1GK,(1956-03-04)4 March 1956 (aged 30),16,Corinthians
1986,Édson,2DF,(1959-07-03)3 July 1959 (aged 26),17,Corinthians
1986,Oscar,2DF,(1954-06-20)20 June 1954 (aged 31),59,São Paulo
1986,Edinho,2DF,(1955-06-05)5 June 1955 (aged 30),40,Udinese
1986,Falcão,3MF,(1953-10-16)16 October 1953 (aged 32),26,São Paulo
1986,Júnior,3MF,(1954-06-29)29 June 1954 (aged 31),56,Torino
1986,Müller,4FW,(1966-01-31)31 January 1966 (aged 20),7,São Paulo
1986,Casagrande,4FW,(1963-04-15)15 April 1963 (aged 23),16,Corinthians
1986,Careca,4FW,(1960-10-05)5 October 1960 (aged 25),28,São Paulo
1986,Zico,3MF,(1953-03-03)3 March 1953 (aged 33),68,Flamengo
1986,Edivaldo,4FW,(1962-04-13)13 April 1962 (aged 24),2,Atlético Mineiro
1986,Paulo Vítor,1GK,(1957-06-07)7 June 1957 (aged 28),8,Fluminense
1986,Josimar,2DF,(1961-09-19)19 September 1961 (aged 24),0,Botafogo
1986,Júlio César,2DF,(1963-03-08)8 March 1963 (aged 23),1,Guarani
1986,Alemão,3MF,(1961-11-22)22 November 1961 (aged 24),14,Botafogo
1986,Mauro Galvão,2DF,(1961-12-19)19 December 1961 (aged 24),1,Internacional
1986,Branco,2DF,(1964-04-04)4 April 1964 (aged 22),9,Fluminense
1986,Sócrates,3MF,(1954-02-19)19 February 1954 (aged 32),55,Flamengo
1986,Elzo,3MF,(1961-01-22)22 January 1961 (aged 25),6,Atlético Mineiro
1986,Silas,3MF,(1965-08-27)27 August 1965 (aged 20),3,São Paulo
1986,Valdo,3MF,(1964-01-12)12 January 1964 (aged 22),0,Grêmio
1986,Leão,1GK,(1949-07-11)11 July 1949 (aged 36),80,Palmeiras
1986,Pat Jennings,1GK,(1945-06-12)12 June 1945 (aged 40),116,Everton
1986,Jimmy Nicholl,2DF,(1956-12-28)28 December 1956 (aged 29),70,West Bromwich Albion
1986,Mal Donaghy,2DF,(1957-09-13)13 September 1957 (aged 28),42,Luton Town
1986,John O'Neill,2DF,(1958-03-11)11 March 1958 (aged 28),36,Leicester City
1986,Alan McDonald,2DF,(1963-10-12)12 October 1963 (aged 22),5,Queens Park Rangers
1986,David McCreery,3MF,(1957-09-16)16 September 1957 (aged 28),53,Newcastle United
1986,Steve Penney,3MF,(1964-01-16)16 January 1964 (aged 22),7,Brighton & Hove Albion
1986,Sammy McIlroy,3MF,(1954-08-02)2 August 1954 (aged 31),84,Manchester City
1986,Jimmy Quinn,4FW,(1959-11-18)18 November 1959 (aged 26),11,Blackburn Rovers
1986,Norman Whiteside,3MF,(1965-05-07)7 May 1965 (aged 21),26,Manchester United
1986,Ian Stewart,4FW,(1961-09-10)10 September 1961 (aged 24),26,Newcastle United
1986,Jim Platt,1GK,(1951-01-26)26 January 1951 (aged 35),23,Coleraine
1986,Philip Hughes,1GK,(1964-11-19)19 November 1964 (aged 21),0,Bury
1986,Gerry Armstrong,4FW,(1954-05-23)23 May 1954 (aged 32),62,Chesterfield
1986,Nigel Worthington,2DF,(1961-11-04)4 November 1961 (aged 24),8,Sheffield Wednesday
1986,Paul Ramsey,3MF,(1962-09-03)3 September 1962 (aged 23),9,Leicester City
1986,Colin Clarke,4FW,(1962-10-30)30 October 1962 (aged 23),3,AFC Bournemouth
1986,John McClelland,2DF,(1955-12-07)7 December 1955 (aged 30),38,Watford
1986,Billy Hamilton,4FW,(1957-05-09)9 May 1957 (aged 29),38,Oxford United
1986,Bernard McNally,3MF,(1963-02-17)17 February 1963 (aged 23),1,Shrewsbury Town
1986,David Campbell,3MF,(1965-06-02)2 June 1965 (aged 20),1,Nottingham Forest
1986,Mark Caughey,4FW,(1960-08-31)31 August 1960 (aged 25),2,Linfield
1986,Andoni Zubizarreta,1GK,(1961-10-23)23 October 1961 (aged 24),9,Athletic Bilbao
1986,Tomás,2DF,(1960-08-09)9 August 1960 (aged 25),5,Atlético Madrid
1986,José Antonio Camacho,2DF,(1955-06-08)8 June 1955 (aged 30),64,Real Madrid
1986,Antonio Maceda,2DF,(1957-05-16)16 May 1957 (aged 29),35,Real Madrid
1986,Víctor,3MF,(1957-03-15)15 March 1957 (aged 29),36,Barcelona
1986,Rafael Gordillo,2DF,(1957-02-24)24 February 1957 (aged 29),62,Real Madrid
1986,Juan Antonio Señor,3MF,(1958-08-26)26 August 1958 (aged 27),29,Real Zaragoza
1986,Andoni Goikoetxea,2DF,(1956-08-23)23 August 1956 (aged 29),29,Athletic Bilbao
1986,Emilio Butragueño,4FW,(1963-07-22)22 July 1963 (aged 22),11,Real Madrid
1986,Francisco José Carrasco,3MF,(1959-03-06)6 March 1959 (aged 27),30,Barcelona
1986,Julio Alberto,2DF,(1958-10-07)7 October 1958 (aged 27),22,Barcelona
1986,Quique Setién,3MF,(1958-09-27)27 September 1958 (aged 27),3,Atlético Madrid
1986,Urruti,1GK,(1952-02-17)17 February 1952 (aged 34),5,Barcelona
1986,Ricardo Gallego,3MF,(1959-02-08)8 February 1959 (aged 27),26,Real Madrid
1986,Chendo,2DF,(1961-10-12)12 October 1961 (aged 24),1,Real Madrid
1986,Hipólito Rincón,4FW,(1957-04-28)28 April 1957 (aged 29),20,Real Betis
1986,Francisco,3MF,(1962-11-01)1 November 1962 (aged 23),14,Sevilla
1986,Ramón Calderé,3MF,(1959-01-16)16 January 1959 (aged 27),6,Barcelona
1986,Julio Salinas,4FW,(1962-09-11)11 September 1962 (aged 23),3,Athletic Bilbao
1986,Eloy,4FW,(1964-07-10)10 July 1964 (aged 21),3,Sporting Gijón
1986,Míchel,3MF,(1963-03-23)23 March 1963 (aged 23),5,Real Madrid
1986,Juan Carlos Ablanedo,1GK,(1963-09-02)2 September 1963 (aged 22),0,Sporting Gijón
1986,Troels Rasmussen,1GK,(1961-07-04)4 July 1961 (aged 24),15,AGF
1986,John Sivebæk,2DF,(1961-10-25)25 October 1961 (aged 24),36,Manchester United
1986,Søren Busk,2DF,(1953-04-10)10 April 1953 (aged 33),46,MVV
1986,Morten Olsen,2DF,(1949-08-14)14 August 1949 (aged 36),79,Anderlecht
1986,Ivan Nielsen,2DF,(1956-10-09)9 October 1956 (aged 29),31,Feyenoord
1986,Søren Lerby,3MF,(1958-02-01)1 February 1958 (aged 28),51,Bayern Munich
1986,Jan Mølby,3MF,(1963-07-04)4 July 1963 (aged 22),20,Liverpool
1986,Jesper Olsen,3MF,(1961-03-20)20 March 1961 (aged 25),26,Manchester United
1986,Klaus Berggreen,3MF,(1958-02-03)3 February 1958 (aged 28),32,Pisa
1986,Preben Elkjær,4FW,(1957-09-11)11 September 1957 (aged 28),56,Hellas Verona
1986,Michael Laudrup,4FW,(1964-06-15)15 June 1964 (aged 21),30,Juventus
1986,Jens Jørn Bertelsen,3MF,(1952-02-15)15 February 1952 (aged 34),58,Aarau
1986,Per Frimann,3MF,(1962-06-04)4 June 1962 (aged 23),10,Anderlecht
1986,Allan Simonsen,4FW,(1952-12-15)15 December 1952 (aged 33),53,Vejle
1986,Frank Arnesen,3MF,(1956-09-30)30 September 1956 (aged 29),45,PSV
1986,Ole Qvist,1GK,(1950-02-25)25 February 1950 (aged 36),38,KB
1986,Kent Nielsen,2DF,(1961-12-28)28 December 1961 (aged 24),4,Brønshøj
1986,Flemming Christensen,4FW,(1958-04-10)10 April 1958 (aged 28),10,Lyngby
1986,John Eriksen,4FW,(1957-11-20)20 November 1957 (aged 28),5,Feyenoord
1986,Jan Bartram,3MF,(1962-03-06)6 March 1962 (aged 24),3,AGF
1986,Henrik Andersen,2DF,(1965-05-07)7 May 1965 (aged 21),6,Anderlecht
1986,Lars Høgh,1GK,(1959-01-14)14 January 1959 (aged 27),3,Odense
1986,Jim Leighton,1GK,(1958-07-24)24 July 1958 (aged 27),26,Aberdeen
1986,Richard Gough,2DF,(1962-04-05)5 April 1962 (aged 24),23,Dundee United
1986,Maurice Malpas,2DF,(1962-08-03)3 August 1962 (aged 23),10,Dundee United
1986,Graeme Souness,3MF,(1953-05-06)6 May 1953 (aged 33),52,Sampdoria
1986,Alex McLeish,2DF,(1959-01-21)21 January 1959 (aged 27),43,Aberdeen
1986,Willie Miller,2DF,(1955-05-02)2 May 1955 (aged 31),48,Aberdeen
1986,Gordon Strachan,3MF,(1957-02-09)9 February 1957 (aged 29),34,Manchester United
1986,Roy Aitken,2DF,(1958-11-24)24 November 1958 (aged 27),20,Celtic
1986,Eamonn Bannon,3MF,(1958-04-18)18 April 1958 (aged 28),9,Dundee United
1986,Jim Bett,3MF,(1959-11-25)25 November 1959 (aged 26),17,Aberdeen
1986,Paul McStay,3MF,(1964-10-22)22 October 1964 (aged 21),14,Celtic
1986,Andy Goram,1GK,(1964-04-13)13 April 1964 (aged 22),3,Oldham Athletic
1986,Steve Nicol,2DF,(1961-12-11)11 December 1961 (aged 24),8,Liverpool
1986,David Narey,2DF,(1956-06-12)12 June 1956 (aged 29),28,Dundee United
1986,Arthur Albiston,2DF,(1957-07-14)14 July 1957 (aged 28),13,Manchester United
1986,Frank McAvennie,4FW,(1959-11-22)22 November 1959 (aged 26),2,West Ham United
1986,Steve Archibald,4FW,(1956-09-27)27 September 1956 (aged 29),26,Barcelona
1986,Graeme Sharp,4FW,(1960-10-16)16 October 1960 (aged 25),6,Everton
1986,Charlie Nicholas,4FW,(1961-12-30)30 December 1961 (aged 24),15,Arsenal
1986,Paul Sturrock,4FW,(1956-10-10)10 October 1956 (aged 29),17,Dundee United
1986,Davie Cooper,4FW,(1956-02-25)25 February 1956 (aged 30),14,Rangers
1986,Alan Rough,1GK,(1951-11-25)25 November 1951 (aged 34),53,Hibernian
1986,Rodolfo Rodríguez,1GK,(1956-01-20)20 January 1956 (aged 30),78,Santos
1986,Nelson Gutiérrez,2DF,(1962-04-13)13 April 1962 (aged 24),31,River Plate
1986,Eduardo Mario Acevedo,2DF,(1959-09-25)25 September 1959 (aged 26),37,Defensor Sporting
1986,Víctor Diogo,2DF,(1958-04-09)9 April 1958 (aged 28),31,Palmeiras
1986,Miguel Bossio,3MF,(1960-02-10)10 February 1960 (aged 26),27,Peñarol
1986,José Batista,2DF,(1962-03-06)6 March 1962 (aged 24),8,Deportivo Español
1986,Antonio Alzamendi,4FW,(1956-06-07)7 June 1956 (aged 29),6,River Plate
1986,Jorge Barrios,3MF,(1961-01-24)24 January 1961 (aged 25),53,Olympiacos
1986,Jorge da Silva,4FW,(1961-12-11)11 December 1961 (aged 24),19,Atlético Madrid
1986,Enzo Francescoli,4FW,(1961-11-12)12 November 1961 (aged 24),22,River Plate
1986,Sergio Santín,3MF,(1956-08-06)6 August 1956 (aged 29),14,Atlético Nacional
1986,Fernando Álvez,1GK,(1959-09-04)4 September 1959 (aged 26),6,Peñarol
1986,César Vega,2DF,(1959-09-02)2 September 1959 (aged 26),7,Danubio
1986,Darío Pereyra,2DF,(1956-10-19)19 October 1956 (aged 29),31,São Paulo
1986,Eliseo Rivero,2DF,(1957-12-27)27 December 1957 (aged 28),6,Peñarol
1986,Mario Saralegui,3MF,(1959-04-24)24 April 1959 (aged 27),26,Peñarol
1986,José Zalazar,3MF,(1963-10-26)26 October 1963 (aged 22),15,Peñarol
1986,Rubén Paz,3MF,(1959-08-08)8 August 1959 (aged 26),22,Internacional
1986,Venancio Ramos,4FW,(1959-06-20)20 June 1959 (aged 26),36,Lens
1986,Carlos Aguilera,4FW,(1964-09-21)21 September 1964 (aged 21),38,Nacional
1986,Wilmar Cabrera,4FW,(1959-07-31)31 July 1959 (aged 26),24,Valencia
1986,Celso Otero,1GK,(1958-02-01)1 February 1958 (aged 28),0,Montevideo Wanderers
1986,Harald Schumacher,1GK,(1954-03-06)6 March 1954 (aged 32),67,1. FC Köln
1986,Hans-Peter Briegel,2DF,(1955-10-11)11 October 1955 (aged 30),66,Hellas Verona
1986,Andreas Brehme,2DF,(1960-11-09)9 November 1960 (aged 25),23,1. FC Kaiserslautern
1986,Karlheinz Förster,2DF,(1958-07-25)25 July 1958 (aged 27),74,VfB Stuttgart
1986,Matthias Herget,2DF,(1955-11-14)14 November 1955 (aged 30),21,Bayer Uerdingen
1986,Norbert Eder,2DF,(1955-11-07)7 November 1955 (aged 30),2,Bayern Munich
1986,Pierre Littbarski,4FW,(1960-04-16)16 April 1960 (aged 26),40,1. FC Köln
1986,Lothar Matthäus,3MF,(1961-03-21)21 March 1961 (aged 25),41,Bayern Munich
1986,Rudi Völler,4FW,(1960-04-13)13 April 1960 (aged 26),31,Werder Bremen
